date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2025-04-21,614.0,627.25,609.0,624.25,624.0180053710938,868598,0.0,0.0
2025-04-22,627.2000122070312,634.0,618.0999755859375,620.8499755859375,620.6192626953125,668294,0.0,0.0
2025-04-23,621.9500122070312,629.9000244140625,619.3499755859375,626.5,626.2671508789062,584430,0.0,0.0
2025-04-24,626.0,631.75,621.5499877929688,624.9500122070312,624.7177734375,600192,0.0,0.0
2025-04-25,626.0,629.0,594.0,600.0,599.7770385742188,902183,0.0,0.0
2025-04-28,600.0,622.2000122070312,600.0,617.0,616.7706909179688,1012889,0.0,0.0
2025-04-29,621.0499877929688,625.0,608.0,609.75,609.5233764648438,629183,0.0,0.0
2025-04-30,612.0,612.0,595.1500244140625,600.2000122070312,599.9769287109375,411519,0.0,0.0
2025-05-02,599.0,613.9000244140625,597.5,599.7999877929688,599.5770874023438,440880,0.0,0.0
2025-05-05,607.0,684.4000244140625,603.4500122070312,665.5499877929688,665.3026733398438,16749924,0.0,0.0
2025-05-06,666.9000244140625,677.6500244140625,630.0,632.9500122070312,632.7147827148438,4149196,0.0,0.0
2025-05-07,613.6500244140625,635.9500122070312,611.5,625.4500122070312,625.2175903320312,1269091,0.0,0.0
2025-05-08,633.25,637.6500244140625,604.0,609.75,609.5233764648438,976521,0.0,0.0
2025-05-09,590.5499877929688,606.7999877929688,587.0999755859375,601.0999755859375,600.8765869140625,1363901,0.0,0.0
2025-05-12,630.0,640.0,622.1500244140625,631.0999755859375,630.8654174804688,1452771,0.0,0.0
2025-05-13,634.0,656.0,629.0,648.3499755859375,648.1090087890625,1900554,0.0,0.0
2025-05-14,653.9000244140625,658.2999877929688,646.0,656.0499877929688,655.80615234375,863692,0.0,0.0
2025-05-15,655.0499877929688,662.0,649.9500122070312,660.4000244140625,660.1546020507812,832453,0.0,0.0
2025-05-16,661.5,689.5,661.5,681.5999755859375,681.3466796875,2828190,0.0,0.0
2025-05-19,685.6500244140625,686.9500122070312,671.2999877929688,676.0,675.748779296875,996717,0.0,0.0
2025-05-20,678.0,679.5,657.1500244140625,659.9500122070312,659.7047729492188,818977,0.0,0.0
2025-05-21,661.25,667.9500122070312,656.0499877929688,663.3499755859375,663.1034545898438,454876,0.0,0.0
2025-05-22,658.9000244140625,669.5499877929688,651.7000122070312,658.0499877929688,657.805419921875,490767,0.0,0.0
2025-05-23,664.6500244140625,666.3499755859375,656.5999755859375,658.5,658.2552490234375,523959,0.0,0.0
2025-05-26,664.5999755859375,675.5,662.0499877929688,669.7000122070312,669.4511108398438,733875,0.0,0.0
2025-05-27,669.7000122070312,680.75,664.25,674.2999877929688,674.0493774414062,625891,0.0,0.0
2025-05-28,675.0,685.5,670.5999755859375,673.0,672.7498779296875,620450,0.0,0.0
2025-05-29,673.0499877929688,684.0,668.0,680.75,680.4970092773438,844156,0.0,0.0
2025-05-30,680.75,693.0,670.0499877929688,683.75,683.4959106445312,1202369,0.0,0.0
2025-06-02,685.0,694.6500244140625,676.0499877929688,690.3499755859375,690.0934448242188,1097990,0.0,0.0
2025-06-03,687.0499877929688,695.0,675.0499877929688,678.8499755859375,678.5977172851562,864468,0.0,0.0
2025-06-04,682.0,684.7000122070312,673.0999755859375,682.4500122070312,682.1964111328125,569059,0.0,0.0
2025-06-05,684.7000122070312,690.0499877929688,677.2999877929688,682.3499755859375,682.0963745117188,616872,0.0,0.0
2025-06-06,684.0,692.8499755859375,675.5999755859375,679.9500122070312,679.6973266601562,950457,0.0,0.0
2025-06-09,686.0,694.0,681.5,690.7999877929688,690.5432739257812,911914,0.0,0.0
2025-06-10,696.0,721.0,690.1500244140625,713.0999755859375,712.8349609375,2792402,0.0,0.0
2025-06-11,716.0,718.75,692.0999755859375,697.5999755859375,697.3406982421875,1326185,0.0,0.0
2025-06-12,700.0,701.9500122070312,670.0999755859375,672.75,672.5,1181155,0.0,0.0
2025-06-13,658.9000244140625,666.5499877929688,654.5,658.7999877929688,658.7999877929688,959668,0.25,0.0
