date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2025-04-21,110.25,117.11000061035156,109.80999755859375,113.80999755859375,113.80999755859375,49675500,0.0,0.0
2025-04-22,114.80000305175781,115.94999694824219,113.75,114.66999816894531,114.66999816894531,19810145,0.0,0.0
2025-04-23,115.4000015258789,116.83999633789062,114.80000305175781,115.87999725341797,115.87999725341797,21212725,0.0,0.0
2025-04-24,116.0,116.9800033569336,114.25,115.16999816894531,115.16999816894531,14521505,0.0,0.0
2025-04-25,115.38999938964844,117.11000061035156,108.8499984741211,109.87000274658203,109.87000274658203,38828540,0.0,0.0
2025-04-28,109.61000061035156,111.5,108.25,110.55000305175781,110.55000305175781,19832845,0.0,0.0
2025-04-29,111.5999984741211,112.4000015258789,109.2699966430664,109.7300033569336,109.7300033569336,14598175,0.0,0.0
2025-04-30,109.95999908447266,110.3499984741211,105.25,106.41000366210938,106.41000366210938,26027090,0.0,0.0
2025-05-02,105.9000015258789,108.72000122070312,104.80999755859375,105.27999877929688,105.27999877929688,18021060,0.0,0.0
2025-05-05,105.5999984741211,116.87000274658203,105.0999984741211,111.29000091552734,111.29000091552734,136045365,0.0,0.0
2025-05-06,111.9800033569336,113.0999984741211,106.5,107.20999908447266,107.20999908447266,40326215,0.0,0.0
2025-05-07,104.22000122070312,107.77999877929688,104.19999694824219,106.38999938964844,106.38999938964844,30004955,0.0,0.0
2025-05-08,107.19999694824219,108.37999725341797,103.0,104.04000091552734,104.04000091552734,26223815,0.0,0.0
2025-05-09,101.0,103.19999694824219,101.0,102.4000015258789,102.4000015258789,21353120,0.0,0.0
2025-05-12,108.98999786376953,110.56999969482422,108.30000305175781,109.30999755859375,109.30999755859375,32049350,0.0,0.0
2025-05-13,109.30999755859375,109.45999908447266,107.19999694824219,107.75,107.75,27788610,0.0,0.0
2025-05-14,108.54000091552734,108.70999908447266,107.16000366210938,107.95999908447266,107.95999908447266,17970600,0.0,0.0
2025-05-15,108.4800033569336,109.26000213623047,107.45999908447266,108.62000274658203,108.62000274658203,17751625,0.0,0.0
2025-05-16,109.0,113.95999908447266,108.62000274658203,113.0999984741211,113.0999984741211,49525610,0.0,0.0
2025-05-19,113.30000305175781,114.5999984741211,111.83999633789062,112.44999694824219,112.44999694824219,18979610,0.0,0.0
2025-05-20,112.79000091552734,113.5,110.56999969482422,111.23999786376953,111.23999786376953,17156030,0.0,0.0
2025-05-21,111.19999694824219,112.19999694824219,109.37000274658203,110.25,110.25,13376865,0.0,0.0
2025-05-22,110.30000305175781,112.1500015258789,109.83000183105469,110.73999786376953,110.73999786376953,14943250,0.0,0.0
2025-05-23,111.19999694824219,112.08000183105469,110.19999694824219,110.63999938964844,110.63999938964844,12026850,0.0,0.0
2025-05-26,111.37999725341797,113.9800033569336,111.2300033569336,111.72000122070312,111.72000122070312,19173970,0.0,0.0
2025-05-27,112.0,112.05999755859375,109.95999908447266,110.51000213623047,110.51000213623047,13868320,0.0,0.0
2025-05-28,111.0,113.41999816894531,106.16000366210938,110.13999938964844,110.13999938964844,24560695,0.0,0.0
2025-05-29,110.7699966430664,111.7699966430664,110.19999694824219,110.38999938964844,110.38999938964844,12881605,0.0,0.0
2025-05-30,110.61000061035156,111.08999633789062,108.18000030517578,108.76000213623047,108.76000213623047,15370475,0.0,0.0
2025-06-02,109.4000015258789,111.9800033569336,109.0,111.0199966430664,111.0199966430664,17794610,0.0,0.0
2025-06-03,110.51000213623047,110.63999938964844,108.5999984741211,108.91999816894531,108.91999816894531,12927105,0.0,0.0
2025-06-04,109.4800033569336,109.9800033569336,107.72000122070312,109.02999877929688,109.02999877929688,13008395,0.0,0.0
2025-06-05,109.54000091552734,110.73999786376953,109.30999755859375,109.52999877929688,109.52999877929688,9616705,0.0,0.0
2025-06-06,110.1500015258789,112.79000091552734,109.81999969482422,111.05000305175781,111.05000305175781,20056905,0.0,0.0
2025-06-09,111.94999694824219,114.80000305175781,111.26000213623047,112.62000274658203,112.62000274658203,23617970,0.0,0.0
2025-06-10,113.54000091552734,122.12000274658203,112.48999786376953,119.20999908447266,119.20999908447266,150425895,0.0,0.0
2025-06-11,120.55000305175781,121.0,116.58999633789062,117.41000366210938,117.41000366210938,43819250,0.0,0.0
2025-06-12,117.41000366210938,117.73999786376953,113.0999984741211,113.43000030517578,113.43000030517578,25698510,0.0,0.0
2025-06-13,111.08999633789062,115.68000030517578,109.87000274658203,114.18000030517578,114.18000030517578,29630645,0.0,0.0
2025-06-16,113.58999633789062,114.4000015258789,111.01000213623047,112.58999633789062,112.58999633789062,13945785,0.0,0.0
2025-06-17,112.91000366210938,114.22000122070312,111.4000015258789,111.63999938964844,111.63999938964844,9820175,0.0,0.0
2025-06-18,111.5999984741211,112.06999969482422,110.0,110.16000366210938,110.16000366210938,10063160,0.0,0.0
2025-06-19,110.19999694824219,111.75,106.5,107.30000305175781,107.30000305175781,13568940,0.0,0.0
2025-06-20,107.5999984741211,109.11000061035156,105.41999816894531,106.05000305175781,106.05000305175781,47738495,0.0,0.0
2025-06-23,106.0,108.29000091552734,105.6500015258789,107.5999984741211,107.5999984741211,15234695,0.0,0.0
2025-06-24,108.9800033569336,110.4000015258789,107.73999786376953,109.37000274658203,109.37000274658203,20572930,0.0,0.0
2025-06-25,109.83999633789062,111.80000305175781,109.75,111.4000015258789,111.4000015258789,17171020,0.0,0.0
2025-06-26,111.80000305175781,116.08000183105469,111.5999984741211,115.62999725341797,115.62999725341797,30618905,0.0,0.0
2025-06-27,116.0,121.36000061035156,114.83999633789062,116.87000274658203,116.87000274658203,78220455,0.0,0.0
2025-06-30,117.9000015258789,119.45999908447266,116.47000122070312,117.1500015258789,117.1500015258789,22731315,0.0,0.0
2025-07-01,117.68000030517578,121.4000015258789,117.30000305175781,118.27999877929688,118.27999877929688,40265290,0.0,0.0
2025-07-02,119.19999694824219,120.37999725341797,117.55000305175781,118.27999877929688,118.27999877929688,20389805,0.0,0.0
2025-07-03,119.0,119.23999786376953,117.0,117.58000183105469,117.58000183105469,18364010,0.0,0.0
2025-07-04,117.58000183105469,118.16000366210938,116.22000122070312,116.95999908447266,116.95999908447266,10892800,0.0,0.0
2025-07-07,116.95999908447266,120.0,115.75,119.43000030517578,119.43000030517578,21546290,0.0,0.0
2025-07-08,120.69999694824219,123.0,118.4000015258789,120.0,120.0,49616840,0.0,0.0
2025-07-09,120.51000213623047,122.0,119.30000305175781,120.43000030517578,120.43000030517578,27100765,0.0,0.0
2025-07-10,120.87999725341797,124.0,120.41999816894531,121.16000366210938,121.16000366210938,74692330,0.0,0.0
2025-07-11,121.4000015258789,122.4000015258789,120.06999969482422,120.79000091552734,120.79000091552734,20236400,0.0,0.0
2025-07-14,120.81999969482422,123.86000061035156,120.44999694824219,121.91000366210938,121.91000366210938,37017980,0.0,0.0
2025-07-15,122.58000183105469,123.19999694824219,121.13999938964844,121.62000274658203,121.62000274658203,19422015,0.0,0.0
2025-07-16,121.9800033569336,122.86000061035156,120.5999984741211,120.97000122070312,120.97000122070312,18549555,0.0,0.0
2025-07-17,121.48999786376953,121.7300033569336,119.5,119.7300033569336,119.7300033569336,17579230,0.0,0.0
2025-07-18,119.72000122070312,119.87999725341797,117.69000244140625,118.93000030517578,118.93000030517578,15522320,0.0,0.0
2025-07-21,119.19999694824219,120.69999694824219,118.22000122070312,119.31999969482422,119.31999969482422,10219500,0.0,0.0
2025-07-22,119.81999969482422,120.29000091552734,117.4000015258789,118.11000061035156,118.11000061035156,10394955,0.0,0.0
2025-07-23,118.55999755859375,119.23999786376953,117.43000030517578,117.79000091552734,117.79000091552734,9600185,0.0,0.0
2025-07-24,118.16000366210938,118.58000183105469,116.66000366210938,117.1500015258789,117.1500015258789,8155545,0.0,0.0
2025-07-25,116.77999877929688,116.87999725341797,113.5999984741211,114.0,114.0,11502865,0.0,0.0
2025-07-28,113.95999908447266,115.38999938964844,112.19999694824219,114.12999725341797,114.12999725341797,13411220,0.0,0.0
2025-07-29,114.0,118.94000244140625,113.26000213623047,118.51000213623047,118.51000213623047,25852680,0.0,0.0
2025-07-30,118.80000305175781,120.45999908447266,117.41999816894531,117.94000244140625,117.94000244140625,14559345,0.0,0.0
2025-07-31,116.0,118.37999725341797,115.45999908447266,117.62000274658203,117.62000274658203,12731180,0.0,0.0
2025-08-01,117.5999984741211,118.58999633789062,112.80000305175781,113.4000015258789,113.4000015258789,31074800,0.0,0.0
2025-08-04,113.4000015258789,117.54000091552734,112.83000183105469,116.80000305175781,116.80000305175781,13675050,0.0,0.0
2025-08-05,116.80000305175781,116.81999969482422,115.16000366210938,115.9000015258789,115.9000015258789,7599355,0.0,0.0
2025-08-06,115.98999786376953,116.38999938964844,113.12000274658203,113.48999786376953,113.48999786376953,7604560,0.0,0.0
2025-08-07,112.22000122070312,116.4000015258789,110.44999694824219,115.79000091552734,115.79000091552734,35743505,0.0,0.0
2025-08-08,116.4000015258789,116.66000366210938,114.80000305175781,115.37999725341797,115.37999725341797,12842060,0.0,0.0
2025-08-11,115.37999725341797,119.80000305175781,114.23999786376953,118.77999877929688,118.77999877929688,15152450,0.0,0.0
2025-08-12,119.05000305175781,119.68000030517578,117.83999633789062,118.30000305175781,118.30000305175781,11412935,0.0,0.0
2025-08-13,118.95999908447266,118.95999908447266,116.69999694824219,117.12000274658203,117.12000274658203,9023465,0.0,0.0
2025-08-14,117.37999725341797,117.88999938964844,116.22000122070312,116.80999755859375,116.80999755859375,4808835,0.0,0.0
2025-08-18,118.0199966430664,120.30000305175781,117.30000305175781,119.75,119.75,16063980,0.0,0.0
2025-08-19,119.80000305175781,121.5999984741211,119.26000213623047,121.19999694824219,121.19999694824219,14088205,0.0,0.0
2025-08-20,120.79000091552734,121.47000122070312,119.0199966430664,119.98999786376953,119.98999786376953,7009015,0.0,0.0
2025-08-21,120.18000030517578,120.80000305175781,119.05000305175781,119.23999786376953,119.23999786376953,4971675,0.0,0.0
2025-08-22,119.4000015258789,120.58999633789062,118.4000015258789,118.86000061035156,118.86000061035156,6382785,0.0,0.0
2025-08-25,119.02999877929688,121.5999984741211,118.0199966430664,121.12999725341797,121.12999725341797,13437945,0.0,0.0
2025-08-26,120.9800033569336,121.0,118.0,118.41999816894531,118.41999816894531,11295845,0.0,0.0
2025-08-28,118.0,121.37999725341797,117.04000091552734,118.98999786376953,118.98999786376953,14019215,0.0,0.0
2025-08-29,119.68000030517578,120.63999938964844,116.69999694824219,120.12999725341797,120.12999725341797,18095490,0.0,0.0
2025-09-01,121.18000030517578,123.0,120.63999938964844,121.37000274658203,121.37000274658203,16641785,0.0,0.0
2025-09-02,122.33999633789062,122.33999633789062,120.30000305175781,121.66999816894531,121.66999816894531,10754495,0.0,0.0
2025-09-03,122.19999694824219,123.19999694824219,120.94000244140625,121.86000061035156,121.86000061035156,15352340,0.0,0.0
2025-09-04,122.5999984741211,123.12000274658203,121.30999755859375,121.73999786376953,121.73999786376953,9098085,0.0,0.0
2025-09-05,121.58999633789062,122.87999725341797,120.4000015258789,121.94000244140625,121.94000244140625,9972395,0.0,0.0
2025-09-08,123.4000015258789,129.9199981689453,122.80999755859375,126.7699966430664,126.7699966430664,84739285,0.0,0.0
2025-09-09,127.5999984741211,129.60000610351562,127.16999816894531,128.72999572753906,128.72999572753906,27736530,0.0,0.0
2025-09-10,129.39999389648438,131.7100067138672,126.5,126.88999938964844,126.88999938964844,31778295,0.0,0.0
2025-09-11,127.69999694824219,130.60000610351562,120.0,124.93000030517578,124.93000030517578,298010915,0.0,0.0
2025-09-12,125.5999984741211,130.10000610351562,125.55999755859375,129.7100067138672,129.7100067138672,46407935,0.0,0.0
2025-09-15,131.3000030517578,133.36000061035156,128.0800018310547,128.8300018310547,128.8300018310547,38903655,0.0,0.0
2025-09-16,129.39999389648438,129.66000366210938,127.16000366210938,127.47000122070312,127.47000122070312,22723225,0.0,0.0
2025-09-17,127.9800033569336,128.0500030517578,125.72000122070312,126.0999984741211,126.0999984741211,20887965,0.0,0.0
2025-09-18,126.69000244140625,127.05999755859375,125.19999694824219,126.2699966430664,126.2699966430664,19876310,0.0,0.0
2025-09-19,135.1999969482422,144.60000610351562,133.07000732421875,141.8800048828125,141.8800048828125,431620030,0.0,0.0
2025-09-22,148.1999969482422,170.25,147.3000030517578,170.25,170.25,134757185,0.0,5.0
2025-09-23,179.89999389648438,182.6999969482422,160.25,162.35000610351562,162.35000610351562,192595137,0.0,0.0
2025-09-24,163.25,163.6999969482422,142.10000610351562,144.5,144.5,135960455,0.0,0.0
2025-09-25,145.5,153.89999389648438,145.5,149.0,149.0,158371401,0.0,0.0
2025-09-26,151.35000610351562,152.89999389648438,144.6999969482422,146.25,146.25,65042463,0.0,0.0
2025-09-29,148.6999969482422,149.60000610351562,144.1999969482422,146.64999389648438,146.64999389648438,43205955,0.0,0.0
2025-09-30,148.0,148.25,143.89999389648438,144.64999389648438,144.64999389648438,22474749,0.0,0.0
2025-10-01,144.9499969482422,153.3000030517578,144.80999755859375,152.50999450683594,152.50999450683594,63059546,0.0,0.0
2025-10-03,152.89999389648438,153.0,143.14999389648438,147.3800048828125,147.3800048828125,124141027,0.0,0.0
2025-10-06,148.0,152.99000549316406,147.3800048828125,151.99000549316406,151.99000549316406,68647669,0.0,0.0
2025-10-07,151.99000549316406,155.39999389648438,150.35000610351562,151.47999572753906,151.47999572753906,55385781,0.0,0.0
2025-10-08,151.6999969482422,152.5,148.4199981689453,148.77999877929688,148.77999877929688,45821449,0.0,0.0
2025-10-09,149.39999389648438,149.97999572753906,147.44000244140625,148.91000366210938,148.91000366210938,26066621,0.0,0.0
2025-10-10,149.10000610351562,150.7899932861328,147.83999633789062,149.6999969482422,149.6999969482422,23705398,0.0,0.0
2025-10-13,148.0,155.75,147.52000427246094,154.42999267578125,154.42999267578125,64933221,0.0,0.0
2025-10-14,155.00999450683594,157.5,152.8000030517578,154.89999389648438,154.89999389648438,52873531,0.0,0.0
2025-10-15,154.85000610351562,158.0,150.42999267578125,157.50999450683594,157.50999450683594,64552739,0.0,0.0
2025-10-16,158.10000610351562,158.69000244140625,155.5,157.3699951171875,157.3699951171875,111085386,0.0,0.0
2025-10-17,157.25999450683594,168.0,156.77000427246094,165.97999572753906,165.97999572753906,170754425,0.0,0.0
2025-10-20,168.0500030517578,172.1999969482422,166.6999969482422,170.3000030517578,170.3000030517578,107477254,0.0,0.0
2025-10-21,171.5,174.38999938964844,168.0,170.77999877929688,170.77999877929688,26425161,0.0,0.0
